Init_time: 2021-06-14 16:10:09.066786
c-1,Mon Jun 14 16:11:58 UTC 2021,1623687118,kill
c-2,Mon Jun 14 16:13:44 UTC 2021,1623687224,kill
c-3,Mon Jun 14 16:13:45 UTC 2021,1623687225,kill
c-4,Mon Jun 14 16:13:45 UTC 2021,1623687225,kill
z-1,Mon Jun 14 16:13:30 UTC 2021,1623687210,kill
z-2,Mon Jun 14 16:13:31 UTC 2021,1623687211,kill
z-3,Mon Jun 14 16:13:31 UTC 2021,1623687211,kill
z-4,Mon Jun 14 16:13:31 UTC 2021,1623687211,kill
e-1,Mon Jun 14 16:11:58 UTC 2021,1623687118,kill
e-1,Mon Jun 14 16:13:45 UTC 2021,1623687225,kill
e-1,Mon Jun 14 16:11:59 UTC 2021,1623687119,spawn
e-2,Mon Jun 14 16:11:59 UTC 2021,1623687119,kill
e-2,Mon Jun 14 16:13:46 UTC 2021,1623687226,kill
e-2,Mon Jun 14 16:11:59 UTC 2021,1623687119,spawn
e-3,Mon Jun 14 16:11:59 UTC 2021,1623687119,kill
e-3,Mon Jun 14 16:13:46 UTC 2021,1623687226,kill
e-3,Mon Jun 14 16:12:00 UTC 2021,1623687120,spawn
e-4,Mon Jun 14 16:12:00 UTC 2021,1623687120,kill
e-4,Mon Jun 14 16:13:46 UTC 2021,1623687226,kill
e-4,Mon Jun 14 16:12:00 UTC 2021,1623687120,spawn
r-1,Mon Jun 14 16:12:00 UTC 2021,1623687120,kill
r-1,Mon Jun 14 16:13:47 UTC 2021,1623687227,kill
r-1,Mon Jun 14 16:12:00 UTC 2021,1623687120,spawn
r-2,Mon Jun 14 16:12:00 UTC 2021,1623687120,kill
r-2,Mon Jun 14 16:13:47 UTC 2021,1623687227,kill
r-2,Mon Jun 14 16:12:01 UTC 2021,1623687121,spawn
r-3,Mon Jun 14 16:12:01 UTC 2021,1623687121,kill
r-3,Mon Jun 14 16:13:48 UTC 2021,1623687228,kill
r-3,Mon Jun 14 16:12:01 UTC 2021,1623687121,spawn
r-4,Mon Jun 14 16:12:01 UTC 2021,1623687121,kill
r-4,Mon Jun 14 16:13:48 UTC 2021,1623687228,kill
r-4,Mon Jun 14 16:12:01 UTC 2021,1623687121,spawn
r-5,Mon Jun 14 16:12:01 UTC 2021,1623687121,kill
r-5,Mon Jun 14 16:13:48 UTC 2021,1623687228,kill
r-5,Mon Jun 14 16:12:02 UTC 2021,1623687122,spawn
v-1,Mon Jun 14 16:12:02 UTC 2021,1623687122,kill
v-1,Mon Jun 14 16:13:49 UTC 2021,1623687229,kill
v-1,Mon Jun 14 16:12:02 UTC 2021,1623687122,spawn
v-2,Mon Jun 14 16:12:02 UTC 2021,1623687122,kill
v-2,Mon Jun 14 16:13:49 UTC 2021,1623687229,kill
v-2,Mon Jun 14 16:12:02 UTC 2021,1623687122,spawn
v-3,Mon Jun 14 16:12:02 UTC 2021,1623687122,kill
v-3,Mon Jun 14 16:13:49 UTC 2021,1623687229,kill
v-3,Mon Jun 14 16:12:03 UTC 2021,1623687123,spawn
p-1,Mon Jun 14 16:12:03 UTC 2021,1623687123,kill
p-1,Mon Jun 14 16:13:50 UTC 2021,1623687230,kill
p-1,Mon Jun 14 16:12:03 UTC 2021,1623687123,spawn
p-2,Mon Jun 14 16:12:03 UTC 2021,1623687123,kill
p-2,Mon Jun 14 16:13:50 UTC 2021,1623687230,kill
p-2,Mon Jun 14 16:12:03 UTC 2021,1623687123,spawn
p-3,Mon Jun 14 16:12:04 UTC 2021,1623687124,kill
p-3,Mon Jun 14 16:13:51 UTC 2021,1623687231,kill
p-3,Mon Jun 14 16:12:04 UTC 2021,1623687124,spawn
t-1,Mon Jun 14 16:12:49 UTC 2021,1623687169,kill
t-2,Mon Jun 14 16:12:49 UTC 2021,1623687169,kill
t-3,Mon Jun 14 16:12:49 UTC 2021,1623687169,kill
t-4,Mon Jun 14 16:12:50 UTC 2021,1623687170,kill
t-5,Mon Jun 14 16:12:50 UTC 2021,1623687170,kill
t-6,Mon Jun 14 16:12:50 UTC 2021,1623687170,kill
t-7,Mon Jun 14 16:12:51 UTC 2021,1623687171,kill
t-8,Mon Jun 14 16:12:51 UTC 2021,1623687171,kill
t-9,Mon Jun 14 16:12:52 UTC 2021,1623687172,kill
t-0,Mon Jun 14 16:12:52 UTC 2021,1623687172,kill
r-x,Mon Jun 14 16:11:58 UTC 2021,1623687118,kill
r-y,Mon Jun 14 16:11:59 UTC 2021,1623687119,kill
r-z,Mon Jun 14 16:11:59 UTC 2021,1623687119,kill
